Investor Name;Investor Name URL;Number of Investments;Number of Exited Companies;Location;Investor Type;Description;Website;Twitter;Facebook;LinkedIn;Number of Portfolio Companies;Number of Lead Investments;Program Duration;Next Application Deadline;Program Type
Zygote Ventures;https://www.crunchbase.com/organization/zygote-ventures;7;;San Rafael, California, United States;Angel Group;Zygote Ventures is a privately held seed/angel venture capital fund.;http://www.zygoteventures.com;;;;4;1;;;
zVentures;https://www.crunchbase.com/organization/zventures;;;San Francisco, California, United States;Corporate Venture Capital;Emerging companies with opportunities for massive growth and improvement;https://zv.razerzone.com/;https://www.twitter.com/razer;https://www.facebook.com/razer;;;;;;
Zusho Venture Partners;https://www.crunchbase.com/organization/zusho-venture-partners;;;Newport Beach, California, United States;Venture Capital;Zusho Venture Partners is a venture capital firm based in Newport Beach, California and also has an office in Tokyo, Japan.;http://www.zusho.com;;;https://www.linkedin.com/company/zusho-venture-partners-llc;;;;;
Zuma Partners;https://www.crunchbase.com/organization/zumapartners;;;Santa Monica, California, United States;Venture Capital;Zuma Partners is an early-stage venture capital firm that helps visionary entrepreneurs build great companies.;http://www.zumavp.com/;;;;;;;;
Zuckerberg Education Ventures;https://www.crunchbase.com/organization/zuckerberg-education-ventures-2;6;;Palo Alto, California, United States;Venture Capital;Education venture investments for Mark Zuckerberg and Priscilla Chan;https://www.facebook.com/zuckerbergeducationventures/;;https://www.facebook.com/zuckerbergeducationventures/;;6;2;;;
Zoovee Ventures;https://www.crunchbase.com/organization/zoovee-ventures;;;California, United States, North America;Angel Group;Zoovee is a angel investment group that has a passion for helping and guiding start up companies.;http://www.zooveeventures.com;;;;;;;;
Zone Ventures;https://www.crunchbase.com/organization/zone-ventures;27;4;Menlo Park, California, United States;Venture Capital;Zone Ventures is a partnership funded by institutional investors for the purpose of providing equity capital to young, high-growth;http://www.zonevc.com;;;;18;7;;;
Zoic Capital;https://www.crunchbase.com/organization/zoic-capital;;;San Francisco, California, United States;Venture Capital;Zoic Capital is a life science and medical technology venture capital firm focusing on concept to early stage opportunities.;https://www.zoiccapital.com;;;https://www.linkedin.com/company/15076524;;;;;
ZJ Innopark;https://www.crunchbase.com/organization/zj-innopark;1;1;Fremont, California, United States;Venture Capital;Zhangjiang Hi-tech Park, a national level industrial development zone, was founded in July 1992.;http://zhangjiangusa.com;;;;1;;;;
zipdragon ventures;https://www.crunchbase.com/organization/zipdragon-ventures;1;;San Francisco, California, United States;Venture Capital;zipdragon ventures is an investment firm providing seed capital to industry cloud startups.;http://www.zipdragon.com;;;https://www.linkedin.com/company/13180129?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A13180129%2Cidx%3A1-1-1%2CtarId%3A1459047436415%2Ctas%3Azipdragon%20;1;;;;
Zillionize Angel;https://www.crunchbase.com/organization/zillionize-angel;95;7;Palo Alto, California, United States;Angel Group;At Zillionize we invest in fast growing startups with huge potential ahead.;https://zillionize.com;https://twitter.com/@zillionize;https://www.facebook.com/Zillionize/;;90;3;;;
Zetta Venture Partners;https://www.crunchbase.com/organization/zetta-venture-partners;22;;San Francisco, California, United States;Venture Capital;Zetta Venture Partners is the first fund focused on intelligent software.;http://www.zettavp.com/;;;;16;5;;;
Zero Gravity Venture Partners;https://www.crunchbase.com/organization/zero-gravity-venture-partners;2;1;San Francisco, California, United States;Venture Capital;Zero Gravity Venture Partners invests primarily in Internet companies engaged in the areas of e-commerce, Internet infrastructure;http://www;;;;2;2;;;
